JHU_TSS_918_2627_1	S39161
UNC_MOD2093	S58442
UNC_MOD1232	S97011
UNC_MOD1936	S31115
UNC_MOD0746	S85190
UW_EPIC_2843	S56468
UNC_MOD1466	S33883
JHU_TSS_141_1237_1	S52695
UNC_MOD0603	S85882
UW_EPIC_8530	S99193
JHU_TSS_184_1244_1	S32828
UW_EPIC_3641	S63419
JHU_CFRD_419_10479_1	S96623
UNC_MOD2310	S78529
UNC_MOD0900	S22986
JHU_TSS_1027_2832_1	S49111
UNC_MOD1771	S90962
JHU_CFRD_407_10467_1	S77451
JHU_TSS_971_2715_1	S84913
JHU_TSS_68_1061_1	S79454
UW_EPIC_3040	S46735
JHU_TSS_549_1923_1	S85383
UNC_MOD2419	S65993
UW_EPIC_1978	S10274
UNC_MOD0496	S41288
UNC_MOD0518	S47269
UW_EPIC_12273	S61635
UNC_MOD0146	S69124
JHU_TSS_327_1508_1	S82601
JHU_TSS_524_1882_1	S69026
UNC_MOD1616	S87197
JHU_TSS_422_1685_1	S76485
JHU_TSS_44_1023_1	S60339
UW_EPIC_1649	S60965
UW_EPIC_203	S91656
JHU_TSS_861_2511_1	S65057
JHU_TSS_390_1619_1	S36771
JHU_TSS_299_1454_1	S97733
JHU_TSS_152_1318_1	S24257
JHU_TSS_211_1293_1	S45957
UNC_MOD0670	S87532
JHU_TSS_890_2567_1	S64119
UNC_MOD2380	S27097
UNC_MOD2351	S88020
UNC_MOD0619	S31427
UNC_MOD2675	S63907
UNC_MOD1426	S50029
JHU_TSS_373_1591_1	S39994
UNC_MOD0283	S23351
UNC_MOD1819	S60160
UW_EPIC_362	S38401
UNC_CFLD5320	S90433
UNC_MOD2534	S80562
UW_EPIC_2459	S20322
JHU_TSS_491_1819_1	S53139
UW_EPIC_2567	S45147
UW_EPIC_2606	S63205
UNC_MOD0646	S15118
UNC_MOD2164	S48578
UNC_MOD0356	S91346
UW_EPIC_1639	S87769
JHU_TSS_628_2072_1	S13994
UW_EPIC_2236	S91418
JHU_TSS_646_2359_1	S73872
JHU_TSS_236_1342_1	S65695
UNC_MOD2061	S17505
UNC_MOD1413	S42884
JHU_TSS_385_1611_1	S50600
UW_EPIC_1626	S97335
UNC_MOD0381	S90499
JHU_TSS_331_1518_1	S69291
JHU_TSS_33_1005_1	S78433
UNC_MOD2499	S90535
UW_EPIC_432	S83719
UW_EPIC_1507	S20160
UNC_MOD2324	S42542
JHU_CFRD_276_10335_1	S48952
UNC_MOD2265	S89839
UNC_MOD2521	S76098
UW_EPIC_3586	S13798
UW_EPIC_2370	S41415
UNC_MOD0559	S20607
UW_EPIC_4210	S76156
UNC_MOD1841	S34315
JHU_TSS_894_2573_1	S23045
UNC_MOD1398	S70217
UNC_MOD1387	S80178
JHU_TSS_425_1690_1	S68639
UW_EPIC_3103	S76403
JHU_TSS_53_1035_1	S31033
JHU_TSS_79_1082_1	S86274
JHU_TSS_973_2718_1	S11169
UW_EPIC_11159	S13298
JHU_TSS_189_120_1	S20224
