pid	sid	vcf_id
P14888	S53792	JHU_TSS_92_74_1
P14905	S38806	UNC_MOD0308
P14920	S32180	JHU_TSS_403_1649_1
P14929	S19951	UNC_MOD0893
P14930	S91780	UW_EPIC_993
P14947	S65007	UNC_MOD1038
P14983	S60516	JHU_TSS_322_1501_1
P14984	S69936	UNC_MOD1376
P14995	S61582	JHU_TSS_64_1054_1
P15019	S25290	JHU_TSS_605_2031_1
P15026	S16109	JHU_TSS_488_1852_1
P15031	S18420	JHU_CFRD_229_10283_1
P15036	S78694	UNC_MOD0480
P15037	S63489	UW_EPIC_1650
P15039	S78437	UNC_MOD2185
P15054	S78212	UNC_MOD1533
P15068	S54070	UW_EPIC_3190
P15078	S16893	JHU_TSS_496_1826_1
P15157	S18977	JHU_TSS_434_1708_1
P15168	S85499	UW_EPIC_3616
P15181	S75329	UNC_MOD2735
P15195	S95340	JHU_CFRD_524_10584_1
P15217	S57971	UNC_MOD1205
P15233	S43193	JHU_TSS_405_1651_1
P15346	S39161	JHU_TSS_918_2627_1
P15376	S58442	UNC_MOD2093
P15387	S97011	UNC_MOD1232
P15389	S31115	UNC_MOD1936
P15406	S85190	UNC_MOD0746
P15423	S56468	UW_EPIC_2843
P15434	S33883	UNC_MOD1466
P15478	S52695	JHU_TSS_141_1237_1
P15515	S85882	UNC_MOD0603
P15527	S99193	UW_EPIC_8530
P15538	S32828	JHU_TSS_184_1244_1
P15548	S63419	UW_EPIC_3641
P15570	S96623	JHU_CFRD_419_10479_1
P15581	S78529	UNC_MOD2310
P15587	S22986	UNC_MOD0900
P15588	S49111	JHU_TSS_1027_2832_1
P15594	S90962	UNC_MOD1771
P15609	S77451	JHU_CFRD_407_10467_1
P15616	S84913	JHU_TSS_971_2715_1
P15619	S79454	JHU_TSS_68_1061_1
P15642	S46735	UW_EPIC_3040
P15646	S85383	JHU_TSS_549_1923_1
P15662	S65993	UNC_MOD2419
P15665	S10274	UW_EPIC_1978
P15682	S41288	UNC_MOD0496
P15760	S47269	UNC_MOD0518
P15828	S61635	UW_EPIC_12273
P15851	S69124	UNC_MOD0146
P15853	S82601	JHU_TSS_327_1508_1
P15859	S69026	JHU_TSS_524_1882_1
P15868	S87197	UNC_MOD1616
P15898	S76485	JHU_TSS_422_1685_1
P15908	S60339	JHU_TSS_44_1023_1
P15919	S60965	UW_EPIC_1649
P15927	S91656	UW_EPIC_203
P15942	S65057	JHU_TSS_861_2511_1
P15943	S36771	JHU_TSS_390_1619_1
P15948	S97733	JHU_TSS_299_1454_1
P15949	S24257	JHU_TSS_152_1318_1
P15951	S45957	JHU_TSS_211_1293_1
P15970	S87532	UNC_MOD0670
P15976	S64119	JHU_TSS_890_2567_1
P15986	S27097	UNC_MOD2380
P15988	S88020	UNC_MOD2351
P15990	S31427	UNC_MOD0619
P16008	S63907	UNC_MOD2675
P16032	S50029	UNC_MOD1426
P16049	S39994	JHU_TSS_373_1591_1
P16182	S23351	UNC_MOD0283
P16183	S60160	UNC_MOD1819
P16208	S38401	UW_EPIC_362
P16234	S90433	UNC_CFLD5320
P16237	S80562	UNC_MOD2534
P16253	S20322	UW_EPIC_2459
P16271	S53139	JHU_TSS_491_1819_1
P16281	S45147	UW_EPIC_2567
P16351	S63205	UW_EPIC_2606
P16383	S15118	UNC_MOD0646
P16385	S48578	UNC_MOD2164
P16394	S91346	UNC_MOD0356
P16400	S87769	UW_EPIC_1639
P16448	S13994	JHU_TSS_628_2072_1
P16460	S91418	UW_EPIC_2236
P16473	S73872	JHU_TSS_646_2359_1
P16474	S65695	JHU_TSS_236_1342_1
P16486	S17505	UNC_MOD2061
P16488	S42884	UNC_MOD1413
P16500	S50600	JHU_TSS_385_1611_1
P16504	S97335	UW_EPIC_1626
P16508	S90499	UNC_MOD0381
P16529	S69291	JHU_TSS_331_1518_1
P16552	S78433	JHU_TSS_33_1005_1
P16560	S90535	UNC_MOD2499
P16564	S83719	UW_EPIC_432
P16589	S20160	UW_EPIC_1507
P16596	S42542	UNC_MOD2324
P16604	S48952	JHU_CFRD_276_10335_1
P16626	S89839	UNC_MOD2265
P16676	S76098	UNC_MOD2521
P16707	S13798	UW_EPIC_3586
P16738	S41415	UW_EPIC_2370
P16739	S20607	UNC_MOD0559
P16762	S76156	UW_EPIC_4210
P16766	S34315	UNC_MOD1841
P16834	S23045	JHU_TSS_894_2573_1
P16839	S70217	UNC_MOD1398
P16856	S80178	UNC_MOD1387
P16886	S68639	JHU_TSS_425_1690_1
P16944	S76403	UW_EPIC_3103
P16955	S31033	JHU_TSS_53_1035_1
P16965	S86274	JHU_TSS_79_1082_1
P16991	S11169	JHU_TSS_973_2718_1
P17018	S13298	UW_EPIC_11159
P17091	S20224	JHU_TSS_189_120_1
P17106	S71173	UNC_MOD0255
P17115	S41358	UW_EPIC_3091
P17120	S88849	JHU_TSS_732_2258_1
P17187	S94702	JHU_TSS_713_2223_1
P17192	S56759	UNC_MOD2466
P17207	S91503	JHU_TSS_867_2521_1
P17222	S52948	JHU_CFRD_490_10550_1
P17244	S38355	UW_EPIC_1891_1
P17245	S71224	JHU_TSS_57_1041_1
P17255	S52075	JHU_TSS_983_2742_1
